Tranche or routes to stations,Region,Train operaing company or local authority,Scheme name,Station name,Scheme description, Total scheme cost ,DfT Funding,Cycle spaces - additional or routes to stations,Financial year
4,South East,GoVia Thameslink Railway Ltd,Wivelsfield Cycle Improvements,Wivelsfield,Expand the current facility by 10 spaces into a two tier facility with lighting and enhanced CCTV.,"£10,000","£9,000",10,2017/18
4,South West,First Great Western,Taunton Cycling,Taunton,150 additional cycle parking spaces at the station within the multimodal interchange by the station entrance.,"£260,000","£234,000",150,2017/18
4,South East,GoVia Thameslink Railway Ltd,Banstead Cycle Improvements,Banstead,Provide an additional 10 cycle spaces in a two tier facility including a shelter lighting and enhanced CCTV.,"£10,000","£9,000",10,2017/18
4,South East,GoVia Thameslink Railway Ltd,Chipstead Cycle Improvements,Chipstead,"Additional 10 spaces to the current facility in two tier including a shelter, lighting and CCTV.","£13,900","£12,510",10,2017/18
4,South East,GoVia Thameslink Railway Ltd,Edenbridge Town Cycle Improvements,Edenbridge Town,"Additional 10 spaces to current facility with a two tier structure including shelter, lighting & CCTV.","£10,000","£9,000",10,2017/18
4,South East,GoVia Thameslink Railway Ltd,Epsom Downs Cycle Improvements,Epsom Downs,"Expand the current facility by 20 spaces as two tier including a shelter, lighting and enhanced CCTV.","£20,000","£18,000",20,2017/18
4,South East,GoVia Thameslink Railway Ltd,Ewell East Cycle Improvements,Ewell East,Expand a two tier cycle facility with an additional 10 spaces new shelter lighting and enhanced CCTV.,"£10,000","£9,000",10,2017/18
4,South East,GoVia Thameslink Railway Ltd,Mill Hill Broadway Cycle Parking Improvements,Mill Hill Broadway,28 additional cycle parking facilities and repacement of some exisiting facilities. Additional cycle parking to be created to utilise two tier shelters.,"£19,100","£17,190",40,2017/18
4,South East,GoVia Thameslink Railway Ltd,West Hampstead Cycle Parking Improvements,West Hampstead,"Provision of two-tier cycle parking facilities at the main station entrance, to provide an additional 22 spaces at the station. ","£22,500","£20,250",22,2017/18
4,South East,GoVia Thameslink Railway Ltd,Woldingham Cycle Improvements,Woldingham,Expand the current facility by 10 spaces into a two tier facility with lighting and enhanced CCTV.,"£10,000","£9,000",10,2017/18
4,South East,London Midland,Watford Junction Cycle Hub,Watford Junction,"Increase capacity of cycle provision at two locations within  Watford Junction Station from 180 to 328 spaces to include increased double deck cycle racks with occupancy sensors, new shelters, cycle pumps and CCTV.    ","£230,000","£207,000",200,2017/18
4,East of England,London Midland,Northampton Cycle Hubs,Northampton,"Increase capacity of cycle provision at two locations within Northampton Station car park. Increased double deck with occupancy sensors, new shelters, cycle pumps and CCTV.    ","£84,260","£75,834",176,2017/18
4,West Midlands,London Midland,Walsall Cycle Hub,Walsall,"Increase capacity of cycle provision at Walsall Station from 10 to 42 spaces by providing a new, two tier storage deck with occupancy sensors, new shelters and cycle pumps.","£56,000","£50,400",52,2017/18
4,East of England,London Midland,Bletchley Cycle Hub,Bletchley,"Increase capacity of cycle provision at Bletchley Station from 80 to 112 spaces by creation of dedicated area under existing canopy shelter by car park and providing  2No new two tier storage deck with occupancy sensors, new shelter, cycle pump, including enhancement of existing CCTV and lighting system.  ","£16,000","£14,400",50,2017/18
4,East of England,Abellio Greater Anglia,Billericay Cycle Parking,Billericay,"A mix of secure and open cycle storage with shelter, lighting and CCTV.","£300,000","£270,000",100,2017/18
4,East of England,Abellio Greater Anglia,Dullingham Cycle Parking,Dullingham,2-tier cycle rack with shelter.,"£40,000","£36,000",20,2017/18
4,East of England,Abellio Greater Anglia,Whittlesford Parway Cycle Parking,Whittlesford Parkway,"A mix of secure and open cycle storage with shelter, lighting and CCTV.","£700,000","£630,000",200,2017/18
3,South East ,Chiltern,5 Aylesbury Vale Stations,"Aylesbury, Aylesbury Vale Parkway, Great Missenden, Stoke Mandeville and Wendover","This scheme proposes to increase the number of cycle parking spaces, improve security, install new signage, and create maintenance stations at each of the 5 locations. ","£250,000","£220,000",355,2015/16
3,West Midlands,Chiltern,Dorridge Station Cycle Hub,Dorridge,"Cycle hub facility at Dorridge station. As a result, cycle users will gain a secure location to keep their bicycles, whilst protecting them from the elements. The Hub will be fitted with CCTV, lit internally and externally, and access will be controlled by a smart card membership scheme. ","£83,000","£74,700",27,2015/16
3,West Midlands,Chiltern,Warwick Station Cycle Path,Warwick,Integrate Warwick Station into the cycle path network by providing cycle troughs on all the station stairs.,"£30,000","£20,000",20,2015/16
3,East Midlands,East Midland Trains,Alfreton Station Cycle Storage,Alfreton,"The provision of good quality, covered cycle storage with the added security of CCTV.","£20,000","£18,000",20,2015/16
3,East Midlands,East Midland Trains,Attenborough Station,Attenborough,The provision of 20 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage situated on the platforms.,"£20,000","£15,000",20,2015/16
3,East Midlands,East Midland Trains,Burton on Trent Station,Burton on Trent,The provision of 25 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage,"£25,000","£20,000",25,2015/16
3,East Midlands,East Midland Trains,Corby Station,Corby,The provision of 50 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage,"£35,000","£24,000",50,2015/16
3,East Midlands,East Midland Trains,Derby Station Cycle Hub,Derby,"Secure cycle hub for 200 spaces at Derby to enhance the existing cycle facilities.  Access will be electronically controlled, CCTV and a bike pump will be provided.","£400,000","£350,000",200,2015/16
3,East Midlands,East Midland Trains,Kettering Station,Kettering,The provision of 100 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£60,000","£43,000",100,2015/16
3,East Midlands,East Midland Trains,"Leicester, Nottingham and Sheffield Station Cycle Hire","Leicester, Nottingham and Sheffield",Provision of 20 hire bikes to compliment the existing provision and support the new EMT Cycle Hub and SME running the associated cycle hub.,"£24,000","£21,000",100,2015/16
3,East Midlands,East Midland Trains,Lincoln Station Cycle Hub,Lincoln,Provide a 200 space secure cycle hub for Lincoln.,"£400,000","£360,000",300,2015/16
3,East Midlands,East Midland Trains,Loughborough Station Cycle Hub,Loughborough,Provide a mini secure cycle hub of 100 spaces.,"£200,000","£180,000",20,2015/16
3,East Midlands,East Midland Trains,Mansfield and Mansfield Woodhouse Stations,Mansfield and Mansfield Woodhouse,The provision of 30 cycle spaces and cover to protect stored cycle at each station. Provision of CCTV for cycle storage.,"£50,000","£40,000",30,2015/16
3,East Midlands,East Midland Trains,Market Harborough Station,Market Harborough,"The provision of 50 cycle spaces in a mini hub which will include secure 24 hour storage, CCTV.","£35,000","£30,000",50,2015/16
3,East Midlands,East Midland Trains,Melton Mowbray Station,Melton Mowbray,The provision of 20 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£25,000","£20,000",20,2015/16
3,East Midlands,East Midland Trains,Newark Castle Station,Newark Castle,The provision of 40 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£35,000","£30,000",40,2015/16
3,East Midlands,East Midland Trains,Sheffield Station Cycle Hub Extension,Sheffield,Creation of an additional 200 spaces in the Sheffield cycle hub on either a ground floor extension or mezzanine level.,"£300,000","£240,000",200,2015/16
3,East Midlands,East Midland Trains,Skegness Station,Skegness,The provision of 60 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£35,000","£30,000",60,2015/16
3,East Midlands,East Midland Trains,Wellingborough Station,Wellingborough,The provision of 20 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£25,000","£20,000",20,2015/16
3,West Midlands,East Midland Trains,Kidsgrove Station,Kidsgrove,The provision of 30 cycle spaces and cover to protect stored cycles. Provision of CCTV for cycle storage.,"£35,000","£30,000",30,2015/16
3,South East ,First Great Western,4 Kennet Valley Line (West Berkshire) Stations,"Hungerford, Newbury Racecourse, Thatcham and Theale","Increase capacity where existing facilities are well used, improving at those locations where limited provision limits use by cyclists.   ","£125,000","£112,500",50,2015/16
3,South West,First Great Western,3 Bristol Stations on the Severn Beach Line,"Clifton Down, Lawrence Hill and Stapleton Road",Installation of a cycle hub at Clifton Down and installation of additional cycle parking provision at Lawrence Hill and Stapleton Road.,"£100,000","£70,000",35,2015/16
3,South West,First Great Western,3 North Somerset Stations,"Nailsea & Blackwell, Weston-super-Mare and Yatton","To provide improved cycle parking facilities at key stations in North Somerset (Nailsea & Blackwell, Weston-Super-Mare and Yatton) and provide increased security for cycle parking through improved CCTV camera installation. ","£40,000","£33,100",35,2015/16
3,South West,First Great Western,5 Heart of Wessex Line Stations,"Chetnole, Dorchester West, Maiden Newton, Thornford and Yetminster","Sheltered cycle parking at Dorchester West and wheeling ramps, at Maiden Newton a scheme to improve access to / from the West Dorset trail way adjacent the station, provide improved cycle parking with shelter and better signing.  ","£50,000","£40,000",90,2015/16
3,South West,First Great Western,5 North Cotswold Line Stations,"Charlbury, Evesham, Hanborough, Honeybourne and Kingham","Improve the capacity for cycle parking at the main stations between Hanborough and Evesham (including Charlbury, Honeybourne and Kingham).","£125,000","£112,500",95,2015/16
3,South West,First Great Western,Cheltenham Spa Station,Cheltenham Spa,"New walking and cycling access to the station through a 500 metre extension of the Honeybourne line walking and cycling route via a ramp up to Lansdown road cycle route and bus interchange supplemented by new signage along the route showing access points, cycle facilities and through routes with distance and times.","£815,000","£733,000",300,2015/16
3,South West,First Great Western,Tiverton Parkway Cycle Hub,Tiverton Parkway,"Cycle hub providing secure cycle parking, cycle pump and locker facilities supported by improved cycle information and signage.","£40,000","£30,000",40,2015/16
3,North West,First Transpennine,Ulverston Station Cycle Hub,Ulverston,"Cycle hub for storage bike rental and maintenance. It will bring a disused part of the station back into use, increasing cycle parking. Ramps will be fitted to the stairs for easy access to the island platform.","£184,324","£136,324",20,2015/16
3,Yorkshire & Humber,First Transpennine,Dewsbury Station Cycle Park,Dewsbury,"Improve cycle parking facilities at Dewsbury Station through the provision of a cycle park which will provide a robust shelter with two-tier cycle racks, seating and workstation. Increased lighting and CCTV coverage in the area to improve security, including way finding signage through the station. Wheel ramps will also be provided on the stairways for ease of access to the new cycle park from other platforms. In addition new Sheffield hoops will be provided with increased CCTV and lighting provision to make the area safe and secure.","£77,397","£69,397",60,2015/16
3,Yorkshire & Humber,First Transpennine,Huddersfield Station Cycle Park,Huddersfield,"Improve cycle parking facilities at Huddersfield Station with the installation of a new Cycle Park on platform 1. The semi-enclosed construction will provide sheltered storage for bikes together with seating and a cycle repair workstation. Protected by CCTV and enhanced lighting, the unit provides safe secure and practical storage solution for cycles, providing an additional 54 cycle racks at the station. Wheel ramps on the stairs will ease the passage of cyclists from the island platform to the cycle park.","£91,297","£81,297",54,2015/16
3,South East ,GoVia Thameslink Railway Ltd,Bedford Midland Station,Bedford Midland,Additional 158 cycle parking spaces. The new spaces will be created by the removal of vegetation and protected with Witham Shelters and additional CCTV.,"£125,000","£112,500",158,2015/16
3,South East ,GoVia Thameslink Railway Ltd,"Harlington, Biggleswade, Sandy and Arlesey Stations","Harlington, Biggleswade, Sandy and Arlesey","Additional new cycle parking spaces, Witham shelters to provide covered parking, new signage, CCTV and additional lighting will provided in the vicinity of the cycle parking area for safety and security. ","£125,000","£110,000",150,2015/16
3,South East ,GoVia Thameslink Railway Ltd,"Hitchin, Stevenage, St Albans and Elstree & Borehamwood Stations","Hitchin, Stevenage, St Albans and Elstree & Borehamwood",Enhance the CCTV provision around the cycle parking area to improve the security arrangements at these locations.,"£180,000","£120,000",154,2015/16
3,South East ,GoVia Thameslink Railway Ltd,Huntingdon Station,Huntingdon,"Increase the number of cycle spaces by 120 spaces. A re-cycling of existing single stands will create sufficient space to introduce a more organised two-tier cycle parking facility utilising Witham Shelters approximately 25metres in length. New signage, CCTV and additional lighting will be provide where appropriate to complement the existing facilities.","£40,000","£30,000",120,2015/16
3,South East ,GoVia Thameslink Railway Ltd,"Kings Lynn, Watlington and Downham Market Stations","Kings Lynn, Watlington and Downham","Increase of cycle parking spaces through the introduction additional double-tiered cycle facilities with Witham Shelter. Works will include provision of additional lighting, CCTV and signage to cover the area for security, way finding and safety purposes.","£45,000","£40,000",28,2015/16
3,South East ,GoVia Thameslink Railway Ltd,Luton Station,Luton,"Increase of 40 cycle parking spaces, with the addition of double tiered Witham Shelters. A minor relocation of facilities along with the addition of lighting, safety bollards, signage and CCTV will be installed creating a safe and secure environment for station users.","£42,500","£37,500",40,2015/16
3,East of England,Greater Anglia,13 Stations,"Acle, Brundle, Chapple & Wakes Colne, Cressing, Darsham, Elsenham, Great Bentley, Harlow Mill, Hoverton & Wroxham, Hythe, Mistley, Needham Market and Newport",CCTV - Installation of network video recorders with uninterruptable power supplies and 4 cameras at 13 Stations for the purpose of cycle parking monitoring.,"£113,190","£100,379",Not Applicable,2015/16
3,East of England,Greater Anglia,19 Stations,"Derby Road, Enfield Lock, Felixstowe, Greater Chesterford, Hertford East, March, Northumberland Park, Reedham, Royston, Sawbridgeworth, Shelford, Southminster, St Margartes, Stansted Mountfichet, Thetford, Thruston, Weeley, White Notley and  Whittlesford Parkway","CCTV - Installation of 1 network video recorder with uninterruptable power supply, 4 cameras and viewing monitor at 19 stations for the purpose of monitoring cycle parking.","£158,555","£142,700",Not Applicable,2015/16
3,East of England,Greater Anglia,Crouch Valley Line Cycle Storage at 2 Stations,Battlesbridge and North Fambridge,Cycle storage facilities and shelter for the Crouch Valley line (Battlesbridge and North Fambridge). ,"£4,000","£3,600",10,2015/16
3,East of England,Greater Anglia,Frinton Station Increased Cycle Parking,Frinton,Deliver increased cycle parking capacity shelter at Frinton station with enhanced CCTV and lighting. ,"£2,000","£1,800",10,2015/16
3,East of England,Greater Anglia,Harwich Town Station Increased Cycle Parking,Harwich Town,Increased cycle parking capacity shelter at Harwich Town station with enhanced CCTV and lighting.,"£2,000","£1,800",10,2015/16
3,East of England,Greater Anglia,Hatfield Peverel Station Increased Cycle Parking,Hatfield Peverel,Increased cycle parking capacity shelter at Hatfield Peverel station with enhanced CCTV and lighting.,"£40,000","£36,000",32,2015/16
3,East of England,Greater Anglia,Hythe Station Increased Cycle Parking,Hythe,Increased cycle parking capacity shelter at Hythe station with enhanced CCTV and lighting. ,"£15,000","£13,500",20,2015/16
3,East of England,Greater Anglia,Ingatestone Station Cycle Park Plus,Ingatestone,Increased cycle parking capacity shelter at Ingatestone station through cycle park plus key fob entry with enhanced CCTV and lighting. ,"£154,000","£138,600",100,2015/16
3,East of England,Greater Anglia,Kirby Cross Station Increased Cycle Parking,Kirby Cross,Increased cycle parking capacity shelter at Kirby Cross station with enhanced CCTV and lighting.,"£2,000","£1,800",10,2015/16
3,East of England,Greater Anglia,South Woodham Ferrers Station,South Woodham Ferrers,Increased cycle capacity with enhanced CCTV and lighting for the Essex new town station of South Woodham Ferrers.,"£25,000","£22,500",20,2015/16
3,East of England,Greater Anglia,Stansted Mountfitchet Station Increased Cycle Parking,Stansted Mountfitchet,Increased cycle parking capacity shelter at Stansted Mountfichet station with enhanced CCTV and lighting. ,"£15,000","£13,500",Not Applicable,2015/16
3,East of England,Greater Anglia,Thorpe Le Soken Station Increased Cycle Parking,Thorpe Le Soken,Increased cycle parking capacity shelter at Thorpe Le Soken station with enhanced CCTV and lighting. ,"£15,000","£13,500",20,2015/16
3,East of England,Greater Anglia,Wivenhoe Station Increased Cycle Parking,Wivenhoe,Increased cycle parking capacity shelter at Wivenhoe station with enhanced CCTV and lighting.,"£15,000","£13,500",20,2015/16
3,West Midlands,London Midland,5 Cycle Rail West Midlands Stations,"Acocks Green, Smethwick Galton Bridge, Sutton Coldfield, Tile Hill and Widney Manor","80 new, covered, cycle-ride spaces complemented with better CCTV and public cycle pumps at Acocks Green, Smethwick Galton Bridge, Sutton Coldfield, Tile Hill and Widney Manor.","£244,300","£219,870",80,2015/16
3,North West,Merseyrail,27 Northern Line Stations,"Aigburth, Aintree, Aughton Park, Bank Hall, Birkdale, Blundellsands & Crosby, Bootle New Strand, Bootle Oriel Road, Brunswick, Cressington, Formby, Freshfield, Hall Road, Hightown, Hillside, Kirkdale, Magull, Old Roan, Omskirk, Orrell Park, Sandhills, Seaforth & Litherland, Southport, St Michaels, Town Green, Walton and Waterloo",The purpose of this bid is to improve cycle rail uptake at all 27 stations on Merseyrail's Northern line that have cycle storage by enhancing signage and way finding.,"£190,000","£170,000",32,2015/16
3,North West,Merseyrail,28 Wirral Line Stations,"Bache, Bebington, Bidstone, Birkenhead Central, Birkenhead North, Birkenhead Parkway, Bromborough, Bromborough Rake, Capenhurst, Conway Park, Eastham Rake, Ellesmere Port, Green Lane, Hooton, Hoylake, Leasowe, Little Sutton, Manor Road, Meols, Moreton, New Brighton, Overpool, Port Sunlight, Rock Ferry, Spital, Wallasey Grove Road, Wallasey Village and West Kirby",Improve cycle rail uptake at all 28 stations on the Wirral line that have cycle storage including enhancements to the signage and way finding.,"£160,000","£143,000",Not Applicable,2015/16
3,North West,Merseyrail,4 Liverpool Stations,"Hamilton Square, Liverpool Central, Liverpool South Parkway and Moorfields","Installation of shelters, two tier cycle parking, lighting, CCTV and secure parking at Hamilton Square, Liverpool Central, Liverpool South Parkway and Moorfields.","£190,000","£165,500",168,2015/16
3,North West,Merseyrail,"Bike & Go at Ainsdale, Hamilton Square and Moorfields Stations","Ainsdale, Hamilton Square and Moorfields",Adding 3 Bike & Go locations. Bike & Go is a bike hire scheme at 57 locations.,"£70,000","£50,000",Not Applicable,2015/16
3,North East,Northern Rail Ltd,Northumberland Cycle-Rail Connect at 12 Stations,"Alnmouth, Bardon Mill, Corbridge, Cramlington, Haltwhistle, Haydon Bridge, Hexham, Morpeth, Prudhoe, Riding Mill, Stocksfield and Wylam","Improve the cycle facilities and will make it easier for cyclists to access the many rural stations by bike for onward travel. The core improvements will include the introduction of 108 Sheffield stands, 16 shelters and 12 lockers. In addition, there will be some car park modifications. ","£326,509","£226,509",228,2015/16
3,North West,Northern Rail Ltd,Manchester South Circular and Commuter Cycle and Ride at 8 Stations,"Cheadle Hulme, Deansgate, Gorton, Heaton Chapel, Hyde Central, Marple, Mills Hill and Trafford Park",Provide covered cycle parking as well as a Bike & Go scheme and covered cycle parking with TfGM’s swipe-card access system at Deansgate station. ,"£740,000","£440,000",180,2015/16
3,Yorkshire & Humber,Northern Rail Ltd,Cycle Storage and Facilities at 17 Stations in West Yorkshire,"Apperley Bridge, Bingley, Bradford Forster Square, Bradford Interchange, Bramley, Cross Gates, Featherstone, Fitzwilliam, Hebden Bridge, Kirkstall Forge, Low Moor, Mytholmroyd, Normanton, Saltaire, Shepley, Shipley and South Elmsall, ","Improvements to cycle storage and facilities across 17 existing and new stations in West Yorkshire. The total proposition is  for 95 new stands (providing storage for 190 bicycles), plus 20 lockers split between Cross Gates and Apperley Bridge, with accompanying shelters, improvements to CCTV, lighting and signage.","£300,000","£270,000",210,2015/16
3,Yorkshire & Humber,Northern Rail Ltd,Mirfield and Batley Stations Cycle Storage and Access,Mirfield and Batley,Improvements to cycle storage and facilities at Mirfield and Batley stations to provide an additional 30 parking spaces and improved access to platforms through the provision of 2 x 60 metres of platform access wheeling ramps at each station and better surfacing for cyclists replacing the cobbled roads approaching the station platforms.,"£190,000","£171,000",60,2015/16
3,South East ,South West Trains,Cycle Shelters at 13 Stations,"Addlestone, Branksome, Chandlers Ford, Chertsey, Hinton Admiral, Liss, New Milton, Pinhoe, Shawford, Swaythling, Wareham, Wool and Woolston","Installation of additional and improved cycle facilities at Addlestone, Branksome, Chandlers Ford, Chertsey, Hinton Admiral, Liss, New Milton, Pinhoe, Shawford, Swaythling, Wareham, Wool and Woolston.","£221,000","£178,000",154,2015/16
3,South East ,South West Trains,Double Deck Facilities at 6 stations,"Brentford, Chiswick, Franham, St Denys, Weybride and Witley",The installation of additional and improved cycle facilities.,"£149,000","£106,600",72,2015/16
3,South East ,South West Trains,Cycle Hoops at 4 Stations ,"Bitterne, Bursledon, Hinchley Wood and Upwey","The installation of additional cycle hoops at Bitterne, Bursledon, Hinchley Wood and Upwey. This will provide a total of 22 additional cycle spaces. ","£35,000","£25,400",22,2015/16
3,South East ,South West Trains,Bookham Station,Bookham,The installation of additional cycle facilities at Bookham stations.,"£48,000","£43,000",24,2015/16
3,South East ,South West Trains,Brookwood Station,Brookwood,"New cycle hub for an additional 100 cycle spaces. This covered cycle facility includes basic cycle maintenance facilities such as pump and cycle maintenance stand as well as information on cycle, bus and rail departures.","£300,000","£270,000",100,2015/16
3,South East ,South West Trains,Claygate Station,Claygate,The installation of additional cycle facilities at Claygate stations. The new double decked cycle facilities will provide a total of 24 additional cycle spaces at this station.,"£65,000","£40,000",24,2015/16
3,South East ,South West Trains,Ewell West Station,Ewell West,"The building of a new cycle hub to cater for an additional 70 cycle spaces. This covered cycle facility includes basic cycle maintenance facilities such as pump and cycle maintenance stand as well as information on cycle, bus and rail departures.","£300,000","£270,000",70,2015/16
3,South East ,South West Trains,Fareham Station,Fareham,"New cycle hub to cater for an additional 125 cycle spaces. This covered cycle facility includes basic cycle maintenance facilities such as pump and cycle maintenance stand as well as information on cycle, bus and rail departures.","£375,000","£275,000",125,2015/16
3,South East ,South West Trains,Haslemere Station,Haslemere,New purpose built cycle hub to cater for 100 cycle spaces. The cycle hub will be a covered cycle facility which will include basic cycle maintenance facilities such as pump and cycle maintenance stand.,"£320,000","£270,000",100,2015/16
3,South East ,South West Trains,Surbiton Station,Surbiton,Additional cycle facilities at Surbiton station by installing decked cycle facilities which will provide a total of 60 additional cycle spaces at this station.,"£69,000","£61,500",60,2015/16
3,South East ,South West Trains,Teddington Station,Teddington,"The building of a new cycle hub to cater for an additional 100 cycle spaces. This covered cycle facility includes basic cycle maintenance facilities such as pump and cycle maintenance stand as well as information on cycle, bus and rail departures.","£330,000","£280,000",100,2015/16
3,South East ,South West Trains,Walton on Thames Station,Walton on Thames,New purpose built cycle hub to cater for 75 cycle spaces. The cycle hub will be a covered cycle facility which will include basic cycle maintenance facilities such as pump and cycle maintenance stand.,"£400,000","£340,000",75,2015/16
3,South East ,South West Trains,Winchester Station,Winchester,"New cycle hub to cater for an additional 100 cycle spaces. A new access route off Station Hill will also be built as a result which will improve access to the upside Winchester station for cyclists, pedestrians and buses.","£495,000","£430,000",100,2015/16
3,South East ,South West Trains,Woking Station Cycle Hub Extension,Woking,The extension of a recently built cycle hub to cater for an additional 250 cycle spaces.,"£475,000","£375,000",250,2015/16
3,South West,South West Trains,Axminster Station,Axminster,Additional cycle facilities at Axminster stations. The new double decked cycle facilities will provide a total of 24 additional cycle spaces at this station.,"£45,000","£40,000",24,2015/16
3,South West,South West Trains,Poole Station,Poole,Double winged shelter which will provide shelter for the local bus service at the station as well as for the additional cycle facilities. This will provide a total of 60 additional and improved cycle spaces plus improved bus integration at Poole station. ,"£92,000","£80,000",24,2015/16
3,South East ,Southeastern,Gravesend Station Cycle Hub,Gravesend,"The Gravesend Cycle Hub providing additional spaces, a secure compound, CCTV coverage and lighting. ","£774,160","£684,160",166,2015/16
3,South East ,Southern Trains,Bexhill Station Cycle Hub,Bexhill,"A cycle hub at Bexhill Station with a secure key card access for 50 cycle spaces, cycle hire, cycle maintenance. The construction will be within the station building which will also include CCTV which will be monitored live, LED lighting and way finding signage.     ","£150,000","£135,000",50,2015/16
3,South East ,Southern Trains,Dorking Station Cycle Hub,Dorking,"New cycle hub to compliment a new station forecourt scheme. It will provide an additional 200 cycle spaces, secure key card access, cycle maintenance and repair workshop and cycle hire  with additional CCTV, lighting and signage ","£300,000","£270,000",200,2015/16
3,South East ,Southern Trains,Glynde and Bishopstone Covered Cycle Parking,Glynde and Bishopstone,"To provide covered cycle space at Glynde (10 spaces) and Bishopstone (10 spaces). These will include CCTV, lighting and signage.","£20,000","£18,000",20,2015/16
3,South East ,Southern Trains,Hampden Park Station Covered Cycle Spaces,Hampden Park,"To provide Hampden Park with an additional 50 cycle spaces adding a 2 tier cycle system which will have improved CCTV, lighting and signage.","£50,000","£45,000",50,2015/16
3,South East ,Southern Trains,Hove Station Cycle Hub,Hove,"To provide Hove with improved cycle parking by introducing a hub complete with 150 additional cycle spaces, cycle maintenance, cycle hire and repair business. The hub will also provide a secure key card access for storage, CCTV, lighting and new signage.  ","£350,000","£315,000",160,2015/16
3,South East ,Southern Trains,London Road Brighton and Moulescoomb Covered Cycle Parking ,London Road Brighton and Moulescoomb,To provide additional cycle parking at London Road Brighton (20 spaces) and new cycle parking at Moulscoomb (20 spaces). Both new facilities will be sheltered with new CCTV lighting and signage.,"£50,000","£45,000",40,2015/16
3,South East ,Southern Trains,Newhaven Town Station Cycle Hub,Newhaven Town,"To provide a cycle hub at Newhaven Town with a secure key card access for 50 cycle spaces, cycle hire, cycle maintenance. The bespoke construction will also include CCTV which will be monitored live, LED lighting and way finding signage.","£150,000","£135,000",50,2015/16
3,South East ,Southern Trains,Polegate Station,Polegate,"To provide Polegate station with additional cycle parking from 30 spaces to 60 spaces by using 2 tier cycle system. We will also upgrade the current shelters providing covered parking, CCTV and lighting.","£20,000","£18,000",30,2015/16
3,South East ,Southern Trains,Portslade Station Cycle Hub,Portslade,"To convert an unused listed building within Portslade station to a cycle hub that will provide space for an additional 200 spaces, cycle maintenance workshops, cycle hire and meeting area for cyclists. The facility will be run by a local business where the cycle parking will have a secure key card access, CCTV, lighting and signage.","£450,000","£405,000",100,2015/16
3,South East ,Southern Trains,Rye and Crowborough 2-Tier Cycle Parking,Rye and Crowborough,"To provide additional cycle parking by a 2 tier system. At Crowborough station an additional 25 spaces and Rye station by 30 spaces. Both facilities will have new shelters, CCTV, lighting and signage.","£50,000","£45,000",55,2015/16
3,South East ,Southern Trains,Seaford Station Covered Cycle Parking,Seaford,"To provide an enclosure at Seaford station with 20 additional spaces a maintenance frame and pump. This will include CCTV, lighting and signage.","£50,000","£45,000",20,2015/16
3,South East ,Southern Trains,Uckfield Station Covered Cycle Parking,Uckfield,"To provide Uckfield station with a new 50 space facility in the new car park close to the station entrance, which will include new CCTV, lighting and signage. ","£40,000","£36,000",50,2015/16
3,North West,Virgin Trains,Preston Station Cycle Hub,Preston,Improve cycling access to the station by completing a cycle path route and to build and erect a new cycle hub at Preston station. The cycle hub will provide an improved safe parking environment for users.,"£850,000","£765,000",200,2015/16
3,West Midlands,Virgin Trains,Birmingham International Brompton Dock and Secure Cycle Parking,Birmingham International,"The introduction of a Brompton hire dock, new secure cycle parking facilities and associated improvements to signage at Birmingham International Rail Station.","£135,000","£121,500",27,2015/16
3,West Midlands,Virgin Trains,Coventry Station Cycle Hub,Newhaven Town,"Cycle Hub accessible to all users, with the potential for cycling repair and maintenance facilities located within the station.","£300,000","£270,000",150,2015/16
3,West Midlands,Virgin Trains,Rugby Station Cycle Hub,Rugby,"Cycle Hub accessible to all users, with the potential for cycling repair and maintenance facilities located within the station.","£242,300","£218,097",200,2015/16
2,North East,First Transpennine,Hull Cycle Hub,Hull,"Cycle hub with smart card entry, bike hire, bike repair and maintenance. ","£108,000","£91,000",160,2013/14
2,South East ,First Great Western,Henley on Thames Cycle Hub,Henley on Thames,"30 secure cycle parking spaces, public pump and CCTV. Cycle hire and a new bike tour service.","£56,300","£42,200",30,2013/14
2,Yorkshire & Humber,East Midland Trains,Sheffield Cycle Hub,Sheffield,"Enhancements to new cycle hub to create a flagship centre with hire bikes, lockers and changing facilities.","£850,000","£350,000",188,2013/14
2,South East ,Southern Trains,Redhill Cycle Hub,Redhill,"Increased cycle parking and cycle hire plus added CCTV, lighting and signage.There will also be a new mobile workshop offering repair and maintenance.","£250,000","£200,000",200,2013/14
2,South East ,Southern Trains,Lewes Cycle Hub,Lewes,Cycle hub for 200 bikes including cycle repair and maintenance.,"£275,000","£225,000",200,2013/14
2,South East ,Southern Trains,Eastbourne Cycle Hub,Eastbourne,Cycle hub for up to 250 bikes including cycle repair and maintenance.,"£300,000","£250,000",250,2013/14
2,South East ,Southern Trains,Chichester Cycle Hub,Chichester,2 tier parking to increase parking to 300 spaces including a mobile workshop offerring repair and maintenance.,"£200,000","£150,000",160,2013/14
